hq_location,latitude,longitude
"Cologne, Nordrhein-Westfalen, Germany",50.938361,6.959974
"Gauting, Bayern, Germany",48.0667794,11.380285
"Gilching, Bayern, Germany",48.1140289,11.2921549
"Berlin, Berlin, Germany",52.510885,13.3989367
"Brunswick, Niedersachsen, Germany",52.2646577,10.5236066
"Munich, Bayern, Germany",48.1371079,11.5753822
"Augsburg, Bayern, Germany",48.3690341,10.8979522
"Aalen, Baden-Wurttemberg, Germany",48.8375607,10.0929593
"Stuttgart, Baden-Wurttemberg, Germany",48.7784485,9.1800132
"Hamburg, Hamburg, Germany",53.550341,10.000654
"Köln, Nordrhein-Westfalen, Germany",50.938361,6.959974
"Düsseldorf, Nordrhein-Westfalen, Germany",51.2254018,6.7763137
"Planegg, Bayern, Germany",48.103742,11.4220029
"Tübingen, Baden-Wurttemberg, Germany",48.5203263,9.053596
"Frankfurt, Hessen, Germany",50.1106444,8.6820917
"Aachen, Nordrhein-Westfalen, Germany",50.776351,6.083862
"München, Bayern, Germany",48.1371079,11.5753822
"Würzburg, Bayern, Germany",49.7780356,9.9434769
"Ulm, Baden-Wurttemberg, Germany",48.3984968,9.9912458
"Gütersloh, Nordrhein-Westfalen, Germany",51.9063997,8.3782078
"Koblenz, Rheinland-Pfalz, Germany",50.3533278,7.5943951
"Potsdam, Brandenburg, Germany",52.4009309,13.0591397
"Grünwald, Bayern, Germany",48.0486558,11.5300727
"Freiburg, Baden-Wurttemberg, Germany",47.9960901,7.8494005
"Karlsruhe, Baden-Wurttemberg, Germany",49.0068705,8.4034195
"Bremen, Bremen, Germany",53.0758196,8.8071646
"Martinsried, Bayern, Germany",48.10882,11.4508007
"Garching Bei München, Bayern, Germany",48.2513878,11.6509662
"Bochum, Nordrhein-Westfalen, Germany",51.4818111,7.2196635
"Oberhaching, Bayern, Germany",48.0261846,11.5962489
"Ismaning, Bayern, Germany",48.2242434,11.6715263
"Darmstadt, Hessen, Germany",49.8851869,8.6736295
"Bonn, Nordrhein-Westfalen, Germany",50.7352621,7.1024635
"Itzehoe, Schleswig-Holstein, Germany",53.919448,9.5172441
"Rostock, Mecklenburg-Vorpommern, Germany",54.0886707,12.1400211
"Jena, Thuringen, Germany",50.9281717,11.5879359
"Schwalbach, Hessen, Germany",50.1490109,8.5357434
"Ilmenau, Thuringen, Germany",50.6867695,10.9142385
"Taufkirchen, Bayern, Germany",48.0459958,11.6151899
"Dresden, Sachsen, Germany",51.0493286,13.7381437
"Bielefeld, Nordrhein-Westfalen, Germany",52.0191005,8.531007
"Derental, Niedersachsen, Germany",51.6945803,9.4312076
"Magdeburg, Sachsen-Anhalt, Germany",52.1315889,11.6399609
"Lippstadt, Nordrhein-Westfalen, Germany",51.6747074,8.347194
"Leipzig, Sachsen, Germany",51.3406321,12.3747329
"Hanover, Niedersachsen, Germany",52.3744779,9.7385532
"Freital, Sachsen, Germany",51.016265,13.6530329
"Heidelberg, Baden-Wurttemberg, Germany",49.4093582,8.694724
"Mannheim, Baden-Wurttemberg, Germany",49.4892913,8.4673098
"Wildau, Brandenburg, Germany",52.3214429,13.6348744
"Unterhaching, Bayern, Germany",48.0662249,11.6102245
"Monaco, Bayern, Germany",48.1371079,11.5753822
"Hennigsdorf, Brandenburg, Germany",52.6375777,13.2057511
"Kiel, Schleswig-Holstein, Germany",54.3227085,10.135555
"Dortmund, Nordrhein-Westfalen, Germany",51.5142273,7.4652789
"Münster, Nordrhein-Westfalen, Germany",51.9625101,7.6251879
"Duisburg, Nordrhein-Westfalen, Germany",51.434999,6.759562
"Freiburg Im Breisgau, Baden-Wurttemberg, Germany",47.9960901,7.8494005
"Haale, Schleswig-Holstein, Germany",54.1743931,9.5484363
"Essen, Nordrhein-Westfalen, Germany",51.4582235,7.0158171
"Unterschleißheim, Bayern, Germany",48.2730686,11.5702716
"Kaiserslautern, Rheinland-Pfalz, Germany",49.4432174,7.7689951
"Dreieich, Hessen, Germany",50.011974,8.7123912
"Chemnitz, Sachsen, Germany",50.8323531,12.918914
"Saarbrücken, Saarland, Germany",49.234362,6.996379
"Marburg, Hessen, Germany",50.8090106,8.7704695
"Kleinmachnow, Brandenburg, Germany",52.4064167,13.2236601
"Eschborn, Hessen, Germany",50.1504737,8.5607767
"Mainz, Rheinland-Pfalz, Germany",49.9995205,8.2736253
"Langenpreising, Bayern, Germany",48.4259971,11.9737382
"England, Nordrhein-Westfalen, Germany",51.3351685,7.263209
"Halle, Niedersachsen, Germany",51.9913559,9.5634922
"Leuna, Sachsen-Anhalt, Germany",51.3233566,12.0242496
"Kirchzarten, Baden-Wurttemberg, Germany",47.9770172,7.9492262
"Erkrath, Nordrhein-Westfalen, Germany",51.2209866,6.9056079
"Regensburg, Bayern, Germany",49.0195333,12.0974869
"Rosenheim, Bayern, Germany",47.8539273,12.127262
"Konstanz, Baden-Wurttemberg, Germany",47.659216,9.1750718
"Muenchen, Bayern, Germany",48.1371079,11.5753822
"Jordan, Schleswig-Holstein, Germany",54.714578,9.7634721
"Bad Dürkheim, Rheinland-Pfalz, Germany",49.4632944,8.1705063
"Ober-mörlen, Hessen, Germany",50.3726927,8.6925312
"Crailsheim, Baden-Wurttemberg, Germany",49.1365626,10.0720195
"Nidda, Hessen, Germany",50.4267,9.0286
"Fürth, Bayern, Germany",49.4885711,10.9587203
